epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.3239,1.67827,1.72411,2.35386,0.69238,0.7,0.75052,0.3713,3.68217,2.70634,3.82845,6e-05,6e-05,6e-05
2,103.261,1.20198,1.71226,2.15243,0.63086,0.68412,0.69409,0.32673,3.38833,3.00566,3.74365,0.000138614,0.000138614,0.000138614
3,128.289,1.8267,1.97386,2.45902,0.88739,0.3946,0.53695,0.24931,3.81123,3.47339,4.05912,0.000215644,0.000215644,0.000215644
4,153.766,1.69709,2.50099,2.47577,0.72721,0.35,0.42346,0.21573,3.96544,3.87606,4.2637,0.00029109,0.00029109,0.00029109
5,178.574,1.72589,1.7988,2.32337,0.73553,0.41817,0.49377,0.23176,3.83832,4.15173,4.07396,0.000364952,0.000364952,0.000364952
6,203.853,1.54185,1.90436,2.27161,0.83651,0.35,0.50454,0.26329,3.50078,4.53444,3.68321,0.00043723,0.00043723,0.00043723
7,228.787,1.68728,1.88305,2.24947,0.59949,0.3752,0.45765,0.23018,3.57269,4.61885,3.80643,0.000507924,0.000507924,0.000507924
8,253.716,1.66933,1.66732,2.31154,0.55019,0.35,0.4262,0.22339,3.71986,4.70872,3.8915,0.000577034,0.000577034,0.000577034
9,278.745,1.80404,2.10668,2.42961,0.65314,0.37769,0.41046,0.16195,3.95919,4.99091,3.98279,0.00064456,0.00064456,0.00064456
10,303.766,1.52584,1.81225,2.29653,0.65554,0.4,0.43436,0.15728,4.04054,4.90586,4.11328,0.000710502,0.000710502,0.000710502
11,329.291,1.71352,1.81735,2.2574,0.41932,0.3,0.33116,0.12262,3.99401,4.66226,4.10751,0.00077486,0.00077486,0.00077486
12,355.053,1.92772,2.16994,2.4664,0.52621,0.35,0.41303,0.15134,4.06026,3.85579,3.95671,0.000837634,0.000837634,0.000837634
13,380.276,1.85852,2.04412,2.38844,0.6622,0.39262,0.4415,0.13969,4.03906,3.80268,4.10469,0.000898824,0.000898824,0.000898824
14,405.148,1.56779,2.39126,2.42358,0.47693,0.50155,0.44831,0.13779,4.19636,3.98044,4.31555,0.00095843,0.00095843,0.00095843
15,430.315,2.08695,2.1818,2.49519,0.44728,0.5,0.44985,0.17376,4.27647,4.35678,4.41727,0.00101645,0.00101645,0.00101645
16,455.554,1.68367,1.77257,2.38323,0.6171,0.45,0.44598,0.21033,4.3032,4.21501,4.44837,0.00107289,0.00107289,0.00107289
17,480.481,1.89564,2.25732,2.54691,0.54252,0.5,0.46719,0.23249,4.17427,4.27232,4.4487,0.00112774,0.00112774,0.00112774
18,505.614,1.74223,2.09498,2.44942,0.5266,0.35,0.34344,0.17574,4.11559,4.77941,4.19381,0.00118101,0.00118101,0.00118101
19,531.518,1.75865,2.1698,2.35426,0.38603,0.4,0.29422,0.16967,3.8881,4.64892,3.94547,0.0012327,0.0012327,0.0012327
20,556.518,2.01089,2.29465,2.56221,0.54981,0.35,0.31937,0.1754,3.81713,4.54699,3.9104,0.0012828,0.0012828,0.0012828
21,581.342,2.2879,3.04762,2.952,0.48633,0.5,0.40718,0.18555,3.91047,4.23504,3.99918,0.00133132,0.00133132,0.00133132
22,605.951,1.89571,1.93685,2.3793,0.39716,0.35,0.34232,0.19042,3.7123,4.50188,3.93547,0.00137825,0.00137825,0.00137825
