epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,630.511,2.10685,2.12388,2.67163,0.40196,0.45,0.3401,0.1895,3.87263,4.8032,4.08502,0.0014236,0.0014236,0.0014236
24,654.943,1.9447,1.97761,2.72492,0.32089,0.55,0.34736,0.18101,4.37722,4.7212,4.69947,0.00146737,0.00146737,0.00146737
25,679.125,1.63964,1.84013,2.32287,0.52234,0.45,0.40459,0.15924,4.9868,4.95215,5.49707,0.00150955,0.00150955,0.00150955
26,703.281,2.00794,3.04637,2.55946,0.33591,0.45,0.34929,0.16386,5.05092,4.75537,5.82874,0.001505,0.001505,0.001505
27,728.019,1.86869,1.9618,2.40128,0.43719,0.55,0.39551,0.18804,4.40727,4.2005,5.19359,0.0014852,0.0014852,0.0014852
28,752.5,1.86409,1.77017,2.45639,0.42057,0.47233,0.40569,0.17328,3.921,4.17056,4.71313,0.0014654,0.0014654,0.0014654
29,777.094,1.85269,1.7994,2.51592,0.33444,0.45,0.36191,0.14674,4.17873,4.48992,4.49497,0.0014456,0.0014456,0.0014456
30,801.375,1.76327,1.80047,2.37991,0.525,0.3,0.39454,0.17335,4.26635,4.24275,4.41861,0.0014258,0.0014258,0.0014258
31,825.862,1.84858,2.0481,2.49223,0.33455,0.5,0.38148,0.17144,4.1303,4.30853,4.1627,0.001406,0.001406,0.001406
32,850.666,1.69724,1.73328,2.35503,0.60219,0.4,0.40847,0.18121,4.16687,4.67118,4.37382,0.0013862,0.0013862,0.0013862
33,874.835,1.63868,1.94795,2.2817,0.66236,0.3929,0.38697,0.19416,4.49669,4.48033,4.93427,0.0013664,0.0013664,0.0013664
34,899.063,2.05444,2.37589,2.69227,0.6628,0.4,0.41744,0.18784,4.65192,4.33624,5.29584,0.0013466,0.0013466,0.0013466
35,923.168,1.87661,1.73043,2.39907,0.64062,0.44593,0.45084,0.16492,4.32031,4.57433,4.8417,0.0013268,0.0013268,0.0013268
36,947.265,2.04124,2.81267,2.67582,0.45515,0.3,0.30481,0.1618,4.35316,4.29835,4.75329,0.001307,0.001307,0.001307
37,971.211,2.06807,2.46152,2.7848,0.49319,0.38978,0.33407,0.14525,4.4414,4.21955,5.05626,0.0012872,0.0012872,0.0012872
38,995.246,1.84861,1.79456,2.621,0.40925,0.35,0.29952,0.13918,4.25562,4.64447,4.98577,0.0012674,0.0012674,0.0012674
39,1019.06,1.55126,1.70388,2.28656,0.42143,0.35,0.34659,0.1604,4.2413,4.31011,4.83335,0.0012476,0.0012476,0.0012476
40,1042.98,1.85829,2.1374,2.4662,0.51061,0.5,0.50874,0.23399,3.9458,3.89875,4.38064,0.0012278,0.0012278,0.0012278
41,1066.86,1.97034,2.03306,2.61306,0.74639,0.44205,0.5425,0.21893,3.99481,4.00468,4.33916,0.001208,0.001208,0.001208
42,1090.83,1.65429,2.37131,2.39403,0.40942,0.45064,0.42521,0.23032,3.87651,4.25628,4.0393,0.0011882,0.0011882,0.0011882
43,1114.51,1.61926,1.65811,2.38306,0.52689,0.45,0.35252,0.18688,3.75672,4.47781,3.91908,0.0011684,0.0011684,0.0011684
44,1138.3,1.80873,2.27446,2.63929,0.38514,0.31379,0.35787,0.18862,3.85979,4.7762,3.9703,0.0011486,0.0011486,0.0011486
45,1162.25,2.44168,1.96177,3.08438,0.35911,0.4,0.37483,0.19872,3.90486,4.66523,4.07259,0.0011288,0.0011288,0.0011288
46,1186.13,1.82231,1.93611,2.4193,0.70293,0.3,0.40822,0.19168,4.23812,4.65325,4.22297,0.001109,0.001109,0.001109
47,1210.24,1.77875,1.7543,2.3709,0.41099,0.5,0.36478,0.15326,4.41412,4.44684,4.46124,0.0010892,0.0010892,0.0010892
48,1234.02,1.63248,1.61813,2.29859,0.37273,0.4,0.34582,0.16075,4.47646,4.36081,4.65832,0.0010694,0.0010694,0.0010694
49,1258.11,1.93019,1.63577,2.47548,0.69575,0.25,0.31236,0.13965,4.18063,4.47998,4.56993,0.0010496,0.0010496,0.0010496
50,1282.02,2.03971,2.30758,2.7105,0.58695,0.3,0.3313,0.13201,3.8726,4.56035,4.13953,0.0010298,0.0010298,0.0010298
51,1306.05,1.47192,2.3911,2.4465,0.38482,0.45,0.37425,0.18091,3.47381,4.46971,3.85897,0.00101,0.00101,0.00101
52,1330.32,2.16047,1.72078,3.02407,0.60257,0.45,0.38364,0.19383,3.33939,4.24645,3.77501,0.0009902,0.0009902,0.0009902
53,1354.82,1.5018,1.79059,2.21441,0.59801,0.4,0.39804,0.22159,3.35936,3.95812,3.55904,0.0009704,0.0009704,0.0009704
54,1378.88,1.49302,2.00976,2.29101,0.47511,0.6,0.48065,0.27325,3.28331,3.71232,3.46486,0.0009506,0.0009506,0.0009506
55,1403.3,1.55483,1.83412,2.25912,0.63387,0.4,0.45685,0.25704,3.30424,3.72348,3.49784,0.0009308,0.0009308,0.0009308
56,1427.18,1.38923,1.51219,2.24729,0.52098,0.45,0.45669,0.24039,3.45816,4.07583,3.71352,0.000911,0.000911,0.000911
57,1451.15,1.55927,1.5685,2.26718,0.46236,0.5,0.41086,0.20818,3.56963,4.36448,3.87656,0.0008912,0.0008912,0.0008912
58,1475.43,1.51887,1.51413,2.22011,0.36326,0.55,0.35663,0.19347,3.39044,4.98163,3.64668,0.0008714,0.0008714,0.0008714
59,1499.24,1.40249,1.52176,2.13712,0.29968,0.4,0.27584,0.15674,3.52437,5.26454,3.72429,0.0008516,0.0008516,0.0008516
60,1523.34,1.7567,1.70626,2.40828,0.29406,0.4,0.22921,0.14412,3.65337,5.75132,3.8719,0.0008318,0.0008318,0.0008318
61,1547.37,1.77954,1.80388,2.3674,0.25317,0.3,0.23122,0.13124,3.7562,5.99166,4.04654,0.000812,0.000812,0.000812
62,1571.74,1.38071,1.39781,2.13075,0.79444,0.19444,0.28415,0.11581,3.90506,5.78996,4.0657,0.0007922,0.0007922,0.0007922
63,1595.5,1.83714,2.19069,2.35704,0.31759,0.4,0.29483,0.11075,3.96854,5.46722,4.02311,0.0007724,0.0007724,0.0007724
64,1619.39,1.38365,1.70695,2.23457,0.40948,0.3,0.30877,0.14062,4.03858,5.36209,4.11782,0.0007526,0.0007526,0.0007526
65,1643.77,1.20929,1.25524,2.08508,0.49322,0.4,0.35907,0.1878,4.04412,5.17542,4.18914,0.0007328,0.0007328,0.0007328
66,1668.48,1.89693,1.93187,2.6462,0.50562,0.35,0.34215,0.15238,4.39897,5.29954,4.47874,0.000713,0.000713,0.000713
67,1692.81,1.36024,1.38097,2.13565,0.6303,0.34167,0.33557,0.12973,4.51099,5.26148,4.77924,0.0006932,0.0006932,0.0006932
68,1716.91,1.67519,1.70057,2.33152,0.63427,0.35,0.31147,0.11215,4.40296,5.27868,4.76196,0.0006734,0.0006734,0.0006734
69,1740.82,1.32723,1.28225,2.13517,0.84209,0.35,0.35962,0.14661,4.22877,5.02348,4.53811,0.0006536,0.0006536,0.0006536
70,1764.71,1.79206,1.94615,2.81983,0.97033,0.35,0.42265,0.19383,3.82378,4.9994,4.05016,0.0006338,0.0006338,0.0006338
71,1788.49,1.34969,1.23612,2.03645,0.95241,0.35,0.49081,0.24394,3.56534,4.69798,3.8731,0.000614,0.000614,0.000614
72,1812.71,1.56324,1.56624,2.35876,0.60468,0.45,0.47636,0.26247,3.44363,4.34107,3.77643,0.0005942,0.0005942,0.0005942
73,1836.57,1.23339,1.21553,2.12716,0.74222,0.45,0.52008,0.26844,3.43475,4.36827,3.71899,0.0005744,0.0005744,0.0005744
74,1860.75,1.37192,1.39768,2.17417,0.64318,0.45,0.49188,0.27289,3.42418,4.53933,3.71623,0.0005546,0.0005546,0.0005546
75,1884.97,1.51003,1.63978,2.19445,0.57633,0.5,0.47001,0.26213,3.61154,4.52905,3.74543,0.0005348,0.0005348,0.0005348
76,1908.62,1.38169,1.76674,2.13019,0.53775,0.4,0.42075,0.21736,3.68848,4.76651,3.72581,0.000515,0.000515,0.000515
77,1932.5,1.31707,1.50778,2.23137,0.54421,0.35,0.39902,0.19461,3.73084,4.90036,3.75798,0.0004952,0.0004952,0.0004952
78,1955.99,1.35213,1.43844,2.1244,0.48671,0.35,0.38494,0.19561,3.78479,4.98748,3.779,0.0004754,0.0004754,0.0004754
79,1979.61,1.34881,1.48778,2.1474,0.633,0.34538,0.39338,0.20359,3.78107,5.06944,3.75472,0.0004556,0.0004556,0.0004556
80,2003.56,1.17451,1.32756,2.12177,0.84203,0.3,0.36323,0.19313,3.72154,5.18314,3.74358,0.0004358,0.0004358,0.0004358
81,2027.18,1.5421,1.35128,2.29044,0.80968,0.3,0.35514,0.18447,3.73579,5.1766,3.74107,0.000416,0.000416,0.000416
82,2050.74,2.12696,2.81608,2.8488,0.67379,0.35,0.37019,0.18765,3.82065,4.98211,3.8355,0.0003962,0.0003962,0.0003962
83,2074.47,1.2445,1.26654,2.1533,0.67175,0.35,0.36057,0.1842,3.92444,4.94045,3.90603,0.0003764,0.0003764,0.0003764
84,2098.04,1.20152,1.20361,2.04634,0.67634,0.35,0.35097,0.17966,3.94079,4.91441,3.987,0.0003566,0.0003566,0.0003566
85,2121.62,1.23277,1.22085,2.0723,0.67525,0.35,0.37328,0.17822,3.96857,4.95359,4.00911,0.0003368,0.0003368,0.0003368
86,2145.36,1.15686,1.2411,2.04001,0.67764,0.35,0.40964,0.18803,3.91193,4.75526,4.06203,0.000317,0.000317,0.000317
87,2169.68,1.19008,1.03605,2.03601,0.7279,0.35,0.43963,0.19696,3.92311,4.55334,4.11827,0.0002972,0.0002972,0.0002972
88,2193.49,1.37779,1.49743,2.25287,0.76408,0.35,0.4401,0.19816,3.95499,4.48843,4.10065,0.0002774,0.0002774,0.0002774
89,2217.23,1.41551,1.5746,2.31072,0.67927,0.35,0.43488,0.19628,3.90005,4.35749,4.06009,0.0002576,0.0002576,0.0002576
90,2241.1,1.29952,1.28848,2.14206,0.67605,0.35,0.45112,0.19559,3.88573,4.26142,4.02952,0.0002378,0.0002378,0.0002378
91,2265.48,0.93329,1.11083,1.95174,0.85419,0.35,0.47608,0.20281,3.92399,4.19139,4.02591,0.000218,0.000218,0.000218
92,2289.39,1.10516,1.40766,1.94869,0.8546,0.35,0.499,0.19864,4.06318,4.08411,4.17058,0.0001982,0.0001982,0.0001982
93,2312.76,1.04218,1.18251,1.97427,0.51871,0.48554,0.51215,0.19277,4.14375,4.01217,4.26682,0.0001784,0.0001784,0.0001784
94,2336.26,0.87925,0.96252,1.79384,0.5337,0.5,0.531,0.19183,4.16033,3.96228,4.29749,0.0001586,0.0001586,0.0001586
95,2359.89,0.84639,1.07612,1.80367,0.55696,0.5,0.53765,0.19047,4.03907,4.04942,4.19863,0.0001388,0.0001388,0.0001388
96,2383.32,0.85674,1.14272,1.78712,0.57233,0.55,0.5527,0.20228,4.10605,3.805,4.15921,0.000119,0.000119,0.000119
97,2406.73,1.00802,0.94686,1.91527,0.56066,0.5,0.57586,0.19542,4.14355,3.7218,4.22588,9.92e-05,9.92e-05,9.92e-05
98,2430.41,0.93379,0.80629,1.76705,0.56165,0.5,0.5803,0.19927,4.10658,3.67324,4.22304,7.94e-05,7.94e-05,7.94e-05
99,2453.91,1.27439,1.24264,2.22906,0.56486,0.5,0.57416,0.21247,4.12858,3.57936,4.22839,5.96e-05,5.96e-05,5.96e-05
100,2477.44,0.93514,0.96744,1.90619,0.56492,0.52001,0.57736,0.2124,4.12381,3.59666,4.24109,3.98e-05,3.98e-05,3.98e-05
