epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1114,2.60623,4.62972,3.12684,0.01281,0.5,0.02192,0.00995,4.77104,9.36314,5.34247,0.00183368,0.00183368,0.00183368
44,1138.24,3.06441,6.05269,3.44263,0.00292,0.7,0.00972,0.00212,5.37781,9.96384,6.16466,0.00182972,0.00182972,0.00182972
45,1162.08,2.99321,4.79755,3.35921,0.00354,0.85,0.01625,0.00432,4.88491,10.5817,5.8729,0.00182576,0.00182576,0.00182576
46,1186.06,3.22712,5.07035,3.51298,0.0301,0.11496,0.01427,0.00436,5.30499,14.7338,5.97704,0.0018218,0.0018218,0.0018218
47,1210.37,3.2307,5.15278,3.69791,0.06382,0.1,0.02576,0.00577,4.89847,18.6694,5.61835,0.00181784,0.00181784,0.00181784
48,1234.85,2.56396,4.31404,2.96907,0.16978,0.3,0.06704,0.01853,5.0009,14.0239,5.97925,0.00181388,0.00181388,0.00181388
49,1259.29,2.67409,4.26414,3.04488,0.14323,0.15,0.10167,0.02611,5.08124,9.10984,5.93701,0.00180992,0.00180992,0.00180992
50,1284.56,2.95544,5.01007,3.41848,0.2438,0.3,0.17361,0.0574,4.3076,8.03085,4.89652,0.00180596,0.00180596,0.00180596
51,1309.3,2.6366,4.89231,3.32716,0.32444,0.52866,0.26494,0.08789,3.93096,7.48198,4.5872,0.001802,0.001802,0.001802
52,1333.72,2.94503,4.91925,3.5758,0.30233,0.25,0.16666,0.05815,4.63204,8.6323,5.11367,0.00179804,0.00179804,0.00179804
53,1358.13,2.61155,4.13445,3.0428,0.17764,0.4,0.12279,0.03154,4.58906,9.44195,5.6569,0.00179408,0.00179408,0.00179408
54,1382.58,2.68875,4.54862,3.25393,0.11976,0.35,0.06541,0.01742,4.66626,10.7461,6.37331,0.00179012,0.00179012,0.00179012
55,1406.95,2.65314,4.65326,3.08464,0.06898,0.25,0.04256,0.01165,4.94531,11.658,6.61599,0.00178616,0.00178616,0.00178616
56,1431.77,2.37857,4.01643,3.03899,0.11877,0.3,0.0835,0.02487,4.74426,10.6073,5.98686,0.0017822,0.0017822,0.0017822
57,1460.28,2.5976,3.85616,3.07346,0.31129,0.35,0.28268,0.07694,4.51321,9.43194,5.62233,0.00177824,0.00177824,0.00177824
58,1486.5,2.49094,3.52411,2.90522,0.559,0.35,0.34613,0.10156,4.40453,8.12604,5.29768,0.00177428,0.00177428,0.00177428
59,1511.49,2.41985,3.54545,2.8299,0.47287,0.35,0.28442,0.0886,4.25311,7.72581,5.0302,0.00177032,0.00177032,0.00177032
60,1536.44,3.15381,4.53283,3.6034,0.30346,0.55,0.2552,0.08471,4.19109,6.96587,4.97565,0.00176636,0.00176636,0.00176636
61,1561.14,2.90657,4.22862,3.34884,0.16829,0.26335,0.128,0.0544,4.28868,7.03507,5.04673,0.0017624,0.0017624,0.0017624
62,1586.15,2.68308,3.70524,3.1154,0.10555,0.35,0.07962,0.02545,4.216,8.23367,5.24107,0.00175844,0.00175844,0.00175844
63,1611.27,2.81575,4.63084,3.29826,0.10272,0.3,0.05639,0.01926,4.83632,9.07256,5.93729,0.00175448,0.00175448,0.00175448
64,1636.43,2.59638,4.0169,2.99969,0.20987,0.15,0.05017,0.01726,4.96664,10.017,6.60119,0.00175052,0.00175052,0.00175052
65,1661.22,2.30646,3.51866,2.94094,0.1494,0.2,0.09625,0.02923,5.3012,10.0182,6.76832,0.00174656,0.00174656,0.00174656
66,1685.99,2.63474,4.02518,3.1318,0.11767,0.2,0.04544,0.01742,5.39114,10.0416,7.06853,0.0017426,0.0017426,0.0017426
67,1711.37,2.42047,3.46813,2.9058,0.16509,0.2,0.05989,0.01663,4.83986,9.86964,6.19038,0.00173864,0.00173864,0.00173864
68,1736.01,2.69868,3.6332,2.98356,0.18689,0.25,0.07518,0.02178,4.70147,9.99539,5.76968,0.00173468,0.00173468,0.00173468
69,1760.55,2.25102,3.21826,2.7577,0.08569,0.1,0.02207,0.00716,5.13286,10.7701,6.47294,0.00173072,0.00173072,0.00173072
70,1785.1,3.25262,3.92198,4.15923,0.05439,0.1,0.01761,0.00488,5.65725,9.84513,7.13049,0.00172676,0.00172676,0.00172676
71,1809.65,2.63467,3.37861,2.80379,0.16601,0.1,0.03031,0.01222,5.30654,9.9285,6.63096,0.0017228,0.0017228,0.0017228
72,1833.91,2.49288,3.96278,3.18448,0.2349,0.35,0.13991,0.03366,5.09512,8.86734,6.29294,0.00171884,0.00171884,0.00171884
73,1858.19,2.50793,3.18943,2.92134,0.19038,0.25,0.09053,0.02958,4.23894,9.18118,4.70795,0.00171488,0.00171488,0.00171488
74,1882.63,2.83319,3.84433,3.2241,0.07914,0.35,0.0387,0.01921,4.20024,8.66206,4.5615,0.00171092,0.00171092,0.00171092
75,1906.83,2.84815,3.81594,3.25469,0.05734,0.17964,0.03897,0.01716,4.61529,8.6937,5.21803,0.00170696,0.00170696,0.00170696
76,1930.92,2.73415,3.68795,2.95312,0.30923,0.2,0.11211,0.03912,4.48975,7.55131,5.3195,0.001703,0.001703,0.001703
77,1954.89,2.90435,3.76367,3.33824,0.39703,0.5,0.27445,0.09731,4.17501,6.51311,4.62763,0.00169904,0.00169904,0.00169904
78,1979.28,2.31779,3.32518,2.85675,0.32682,0.4,0.25459,0.12685,4.07323,5.90984,4.51514,0.00169508,0.00169508,0.00169508
79,2003.55,2.53257,3.18716,2.80313,0.30489,0.55,0.31827,0.10892,4.242,5.94671,4.2731,0.00169112,0.00169112,0.00169112
80,2027.85,2.22528,3.16719,2.80197,0.24596,0.5,0.25698,0.08975,4.35711,6.36046,4.46285,0.00168716,0.00168716,0.00168716
81,2052.15,2.67384,3.36755,3.13578,0.16241,0.3,0.13654,0.06213,4.48548,7.10613,4.86125,0.0016832,0.0016832,0.0016832
82,2076.19,2.71517,4.08621,3.36731,0.18474,0.35,0.14852,0.06476,4.53416,6.90531,4.80604,0.00167924,0.00167924,0.00167924
83,2100.43,2.41491,3.34633,2.85792,0.37679,0.25,0.19782,0.08672,4.89295,6.75431,5.3544,0.00167528,0.00167528,0.00167528
84,2124.81,2.1159,2.88541,2.61253,0.33889,0.3,0.19807,0.06925,5.27726,6.92898,6.23991,0.00167132,0.00167132,0.00167132
85,2149.26,2.19076,2.87703,2.67679,0.15418,0.17372,0.11584,0.05395,5.50568,7.12284,6.54126,0.00166736,0.00166736,0.00166736
86,2173.56,2.08231,2.87762,2.60634,0.26216,0.35,0.2302,0.0785,4.8599,7.04594,5.61193,0.0016634,0.0016634,0.0016634
