epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1333.61,1.65539,1.91215,2.35264,0.69712,0.35,0.4309,0.19195,4.22358,4.55281,4.79696,0.0011684,0.0011684,0.0011684
44,1369.55,2.05396,1.95681,2.7167,0.45642,0.35,0.36293,0.12605,4.4519,4.7915,4.899,0.0011486,0.0011486,0.0011486
45,1406.16,2.19594,1.83995,2.70938,0.29971,0.2,0.28124,0.11345,4.53406,5.1699,4.86372,0.0011288,0.0011288,0.0011288
46,1439.69,1.95323,2.03661,2.47952,0.48759,0.3,0.3312,0.10958,4.56216,5.10556,4.87863,0.001109,0.001109,0.001109
47,1475.3,1.86994,1.68792,2.43914,0.487,0.3,0.32951,0.10105,4.27623,4.82229,4.58522,0.0010892,0.0010892,0.0010892
48,1508.66,1.42053,1.60646,2.20155,0.38145,0.45,0.37035,0.14296,3.97166,4.64497,4.27626,0.0010694,0.0010694,0.0010694
49,1548.92,1.66757,1.59653,2.34829,0.38381,0.4,0.35164,0.1492,3.91062,4.55392,4.06351,0.0010496,0.0010496,0.0010496
50,1584.93,1.77544,2.02217,2.45804,0.36366,0.5,0.34108,0.15814,3.88336,4.51031,4.06493,0.0010298,0.0010298,0.0010298
51,1623.86,1.53105,2.06434,2.3334,0.35307,0.4,0.35994,0.17906,3.76885,4.52822,4.1716,0.00101,0.00101,0.00101
52,1655.95,1.73501,1.64489,2.55952,0.70803,0.4,0.53943,0.26933,3.76881,3.96482,3.97706,0.0009902,0.0009902,0.0009902
53,1687.32,1.6242,1.85251,2.30213,0.86557,0.4,0.53284,0.28455,3.71847,3.86045,3.96237,0.0009704,0.0009704,0.0009704
54,1719.35,1.52133,1.77444,2.44031,0.69548,0.4,0.44205,0.24385,3.772,4.38344,3.91998,0.0009506,0.0009506,0.0009506
55,1753.81,1.44945,1.63745,2.1802,0.67144,0.35,0.36166,0.19206,3.86606,4.94419,4.09534,0.0009308,0.0009308,0.0009308
56,1786.71,1.50651,1.56184,2.27439,0.5606,0.25,0.30867,0.15926,3.87155,5.18896,4.12721,0.000911,0.000911,0.000911
57,1818.02,1.54013,1.58624,2.25374,0.67164,0.25,0.30956,0.16077,3.79987,5.40639,4.03254,0.0008912,0.0008912,0.0008912
58,1854.68,1.5952,1.54453,2.31147,0.4414,0.3,0.26514,0.14036,3.81291,5.48884,4.01888,0.0008714,0.0008714,0.0008714
59,1887.31,1.39225,1.47495,2.09995,0.56476,0.25,0.25438,0.12675,4.01969,5.43645,4.15202,0.0008516,0.0008516,0.0008516
60,1920.24,1.59909,2.01868,2.33996,0.55063,0.25,0.32014,0.15122,4.10439,5.51794,4.09662,0.0008318,0.0008318,0.0008318
61,1953.71,1.67852,1.80869,2.26315,0.49252,0.25,0.30894,0.15053,4.2031,5.33113,4.07795,0.000812,0.000812,0.000812
62,1985.2,1.44011,1.45349,2.19103,0.96367,0.3,0.38792,0.1693,4.01907,5.21946,3.94413,0.0007922,0.0007922,0.0007922
63,2016.5,1.84246,2.07348,2.41861,0.85189,0.35,0.45721,0.19924,3.81236,4.93859,3.82201,0.0007724,0.0007724,0.0007724
64,2050.13,1.48036,1.41292,2.27084,0.83922,0.4,0.48768,0.22225,3.79658,4.5413,3.73644,0.0007526,0.0007526,0.0007526
65,2082.17,1.28242,1.28546,2.126,0.67009,0.40668,0.52436,0.21227,3.96239,3.97504,3.83589,0.0007328,0.0007328,0.0007328
66,2112.43,1.6689,1.63114,2.45019,0.58443,0.42274,0.46721,0.1582,4.30703,3.93597,4.11588,0.000713,0.000713,0.000713
67,2142.64,1.4136,1.47959,2.18951,0.87314,0.3448,0.45251,0.15511,4.46694,4.00884,4.31437,0.0006932,0.0006932,0.0006932
68,2172.52,1.62271,1.77443,2.2875,0.60574,0.53826,0.46444,0.1579,4.42847,3.7899,4.22984,0.0006734,0.0006734,0.0006734
69,2202.22,1.22397,1.26204,2.13784,0.67544,0.6,0.59052,0.18312,4.26144,3.59699,4.19686,0.0006536,0.0006536,0.0006536
70,2232.85,2.17142,2.2642,2.97301,0.60168,0.55,0.56538,0.18889,4.20585,3.831,4.27341,0.0006338,0.0006338,0.0006338
71,2262.91,1.31572,1.24111,2.0251,0.70676,0.5,0.55339,0.18754,4.13938,4.24418,4.21244,0.000614,0.000614,0.000614
72,2292.63,1.4828,1.67847,2.31043,0.53178,0.45,0.44802,0.16954,4.3463,4.25449,4.34475,0.0005942,0.0005942,0.0005942
73,2322.45,1.23607,1.34453,2.14029,0.45643,0.35,0.40024,0.14254,4.21111,4.55066,4.40433,0.0005744,0.0005744,0.0005744
74,2352.47,1.45642,1.54646,2.24111,0.35015,0.35,0.38183,0.12592,4.155,4.72115,4.38274,0.0005546,0.0005546,0.0005546
75,2382.42,1.48207,1.55966,2.1896,0.58819,0.3,0.37009,0.12118,4.3812,4.72133,4.50091,0.0005348,0.0005348,0.0005348
76,2412.86,1.3904,1.62659,2.14616,0.4211,0.4,0.42152,0.1188,4.48029,4.83959,4.55976,0.000515,0.000515,0.000515
77,2442.58,1.38516,1.58605,2.34831,0.81318,0.25,0.38558,0.09317,4.52997,5.00239,4.56103,0.0004952,0.0004952,0.0004952
78,2472.18,1.26945,1.33922,2.11991,0.59731,0.3,0.39775,0.09606,4.75039,5.04554,4.76671,0.0004754,0.0004754,0.0004754
79,2501.86,1.42322,1.52062,2.15599,0.73455,0.2,0.25401,0.07675,4.7356,5.2649,4.89635,0.0004556,0.0004556,0.0004556
